STATE,ST_CASE,PVH_INVL,PERNOTMVIT,PERMVIT,PERSONS,RD_OWNER,MAN_COLL,SCH_BUS,CF1,CF2,CF3,FATALS,DRUNK_DR
36,360935,0,0,1,1,3,0,0,0,0,0,1,0
36,360936,0,0,5,5,1,2,0,0,0,0,1,1
36,360937,0,1,1,1,4,0,0,0,0,0,1,0
36,360938,0,1,1,1,1,0,0,0,0,0,1,0
36,360939,0,0,1,1,1,0,0,0,0,0,1,0
36,360940,0,0,2,2,1,1,0,0,0,0,1,0
36,360941,0,1,1,1,4,0,0,0,0,0,1,0
36,360942,0,1,1,1,4,0,0,0,0,0,1,0
36,360943,1,0,1,1,4,0,0,0,0,0,1,0
36,360944,0,0,1,1,1,0,0,0,0,0,1,0
36,360945,0,0,4,4,1,6,0,0,0,0,1,0
36,360946,0,1,3,3,2,0,0,0,0,0,1,0
36,360947,0,0,1,1,3,0,0,0,0,0,1,1
36,360948,0,0,3,3,1,7,0,0,0,0,1,0
36,360949,0,0,1,1,3,0,0,0,0,0,1,0
36,360950,5,0,1,1,1,0,0,0,0,0,1,1
36,360951,0,0,2,2,3,6,0,0,0,0,1,0
36,360952,0,0,1,1,3,0,0,0,0,0,1,1
36,360953,0,1,1,1,4,0,0,0,0,0,1,0
36,360954,0,0,5,5,2,0,0,0,0,0,1,0
36,360955,0,1,1,1,3,0,0,0,0,0,1,1
36,360956,0,0,2,2,1,2,0,0,0,0,1,0
36,360957,0,0,4,4,3,2,0,0,0,0,1,0
36,360958,0,0,1,1,1,0,0,0,0,0,1,1
36,360959,0,0,4,4,2,0,0,0,0,0,1,0
36,360960,0,1,2,2,3,0,0,0,0,0,1,0
36,360961,0,1,1,1,3,0,0,0,0,0,1,0
36,360962,0,0,1,1,1,0,0,0,0,0,1,0
36,360963,0,0,2,2,3,6,0,0,0,0,1,0
36,360964,0,1,1,1,3,0,0,0,0,0,1,0
36,360965,0,0,8,8,3,2,0,0,0,0,1,0
36,360966,0,1,1,1,4,0,0,0,0,0,1,0
36,360967,0,1,1,1,1,0,0,0,0,0,1,0
36,360968,0,1,2,2,1,0,0,0,0,0,1,0
36,360969,1,1,1,2,1,0,0,0,0,0,1,0
36,360970,0,0,2,2,3,2,0,0,0,0,1,0
36,360971,3,0,2,2,4,0,1,0,0,0,1,1
36,360972,0,1,2,2,3,0,0,0,0,0,1,0
36,360973,0,1,1,1,4,0,0,0,0,0,1,0
36,360974,0,0,1,1,1,0,0,0,0,0,1,1
36,360975,0,0,1,1,3,0,0,0,0,0,1,1
36,360976,0,0,2,2,1,6,0,0,0,0,1,0
36,360977,0,0,1,1,3,0,0,0,0,0,1,0
36,360978,0,0,2,2,1,6,0,0,0,0,1,0
36,360979,0,1,1,1,4,0,0,0,0,0,1,0
36,360980,0,0,3,3,4,6,0,0,0,0,1,1
36,360981,0,1,2,2,1,0,0,0,0,0,1,0
36,360982,0,1,1,1,1,0,0,0,0,0,1,0
36,360983,0,0,7,7,3,6,0,0,0,0,1,1
36,360984,0,0,1,1,1,0,0,0,0,0,1,1
36,360985,0,0,3,3,3,6,0,0,0,0,2,1
36,360986,0,0,1,1,4,0,0,0,0,0,1,1
36,360987,0,0,1,1,4,0,0,0,0,0,1,0
36,360988,0,1,1,1,2,0,0,0,0,0,1,0
36,360989,0,0,2,2,1,0,0,0,0,0,1,0
36,360990,0,1,1,1,1,0,0,0,0,0,1,0
36,360991,0,0,2,2,1,6,0,0,0,0,1,0
36,360992,0,0,2,2,1,0,0,0,0,0,1,0
36,360993,0,0,2,2,1,2,0,0,0,0,1,0
36,360994,0,0,2,2,1,6,0,0,0,0,1,0
36,360995,0,1,6,6,1,0,0,0,0,0,1,0
36,360996,0,0,6,6,3,6,0,0,0,0,1,0
36,360997,0,1,1,1,3,0,0,0,0,0,1,0
36,360998,0,1,1,1,3,0,0,0,0,0,1,0
36,360999,0,0,1,1,3,0,0,0,0,0,1,0
36,361000,0,1,1,1,3,0,0,0,0,0,1,0
36,361001,0,0,2,2,3,6,0,0,0,0,1,0
36,361002,0,0,2,2,1,2,0,0,0,0,1,1
36,361003,0,1,1,1,3,0,0,0,0,0,1,0
36,361004,0,1,1,1,3,0,0,0,0,0,1,0
36,361005,0,1,4,4,1,0,0,0,0,0,1,0
36,361006,0,0,1,1,4,0,0,0,0,0,1,1
36,361007,0,1,1,1,3,0,0,0,0,0,1,0
36,361008,0,0,4,4,1,1,0,0,0,0,1,0
36,361009,0,2,1,1,1,0,0,0,0,0,1,0
36,361010,0,1,5,5,1,0,0,0,0,0,1,0
36,361011,0,1,1,1,1,0,0,0,0,0,1,0
36,361012,0,1,2,2,3,0,0,0,0,0,1,0
36,361013,0,1,1,1,1,0,0,0,0,0,1,0
36,361014,0,0,1,1,3,0,0,0,0,0,1,0
36,361015,0,0,1,1,2,0,0,0,0,0,1,1
36,361016,0,1,4,4,4,0,0,0,0,0,1,0
36,361017,0,1,1,1,1,0,0,0,0,0,1,0
36,361018,0,0,1,1,3,0,0,0,0,0,1,0
36,361019,0,1,1,1,4,0,0,0,0,0,1,0
36,361020,0,0,2,2,3,2,0,0,0,0,1,1
36,361021,0,0,2,2,1,2,0,0,0,0,1,0
36,361022,0,0,2,2,2,0,0,18,0,0,1,0
36,361023,0,0,2,2,2,2,0,0,0,0,1,0
36,361024,0,1,1,1,2,0,0,0,0,0,1,0
36,361025,0,0,1,1,3,0,0,0,0,0,1,1
36,361026,0,0,7,7,1,2,0,0,0,0,1,0
36,361027,0,1,1,1,3,0,0,0,0,0,1,0
36,361028,0,1,1,1,1,7,0,23,0,0,1,0
36,361029,0,0,3,3,3,1,0,0,0,0,1,0
36,361030,0,1,1,1,3,0,0,0,0,0,1,0
36,361031,0,0,5,5,3,6,0,0,0,0,1,1
36,361032,0,1,1,1,1,0,0,0,0,0,1,0
36,361033,0,0,1,1,4,0,0,0,0,0,1,1
36,361034,0,0,7,7,1,2,0,0,0,0,2,0
36,361035,0,0,2,2,1,0,0,0,0,0,1,0
36,361036,0,0,3,3,1,2,0,0,0,0,1,0
